YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 09 22 280   .3  1.4  1.95 11.11  9.14 999 1013.8  25.1  25.4 999.0 99.0
98 01 09 23 308  2.2  3.0  1.92 16.67  9.12 999 1012.8  24.7  25.6 999.0 99.0
98 01 10 00 350  1.8  2.9  1.96 11.11  9.36 999 1011.6  24.5  25.7 999.0 99.0
98 01 10 01 346  3.0  4.3  1.81 11.11  8.83 999 1011.1  24.2  25.7 999.0 99.0
98 01 10 02 342  2.2  3.3  1.83 14.29  8.93 999 1011.1  24.4  25.7 999.0 99.0
98 01 10 03 350  2.0  3.1  1.86 11.11  8.75 999 1011.2  24.6  25.7 999.0 99.0
98 01 10 04  14   .9  2.1  1.73 14.29  9.05 999 1011.5  24.6  25.6 999.0 99.0
98 01 10 05   0   .4  1.7  1.69 14.29  8.76 999 1011.9  23.8  25.5 999.0 99.0
98 01 10 06  78   .4  1.7  1.79 11.11  8.62 999 1012.3  23.9  25.4 999.0 99.0
98 01 10 07  44   .8  2.0  1.59 14.29  8.47 999 1012.7  23.6  25.4 999.0 99.0
98 01 10 08  73   .4  1.3  1.71 14.29  8.94 999 1013.0  23.9  25.4 999.0 99.0
98 01 10 09  65  1.1  2.0  1.74 14.29  8.98 999 1013.1  23.9  25.4 999.0 99.0
98 01 10 10 107   .5  1.7  1.79 12.50  9.13 999 1013.3  23.9  25.3 999.0 99.0
98 01 10 11  66   .7  2.5  1.76 12.50  9.20 999 1013.3  23.9  25.3 999.0 99.0
98 01 10 12  97  1.7  2.5  1.87 12.50  9.64 999 1012.8  24.1  25.3 999.0 99.0
98 01 10 13  63  1.3  2.8  1.89 12.50  9.62 999 1012.5  23.9  25.3 999.0 99.0
98 01 10 14  72  2.4  3.3  1.89 10.00  9.25 999 1012.3  23.9  25.3 999.0 99.0
98 01 10 15  94  2.9  3.8  2.05 12.50  9.66 999 1012.5  24.0  25.3 999.0 99.0
98 01 10 16 119  3.0  4.3  1.78 11.11  8.88 999 1012.7  24.2  25.3 999.0 99.0
98 01 10 17 114   .3  1.3  2.16 12.50  9.61 999 1013.3  24.3  25.2 999.0 99.0
98 01 10 18 112  2.5  3.3  2.38 11.11  9.96 999 1013.9  24.3  25.2 999.0 99.0
98 01 10 19 111  2.8  3.7  2.41 11.11 10.17 999 1014.6  24.2  25.2 999.0 99.0
98 01 10 20  94  1.9  3.0  2.42 20.00 10.15 999 1015.2  24.5  25.2 999.0 99.0
98 01 10 21  75  2.3  3.3  2.69 11.11 10.53 999 1015.2  24.8  25.2 999.0 99.0
98 01 10 22  68  2.0  2.8  2.56 20.00 10.49 999 1014.8  24.7  25.3 999.0 99.0
98 01 10 23  68  1.6  2.6  2.74 20.00 10.87 999 1014.0  24.9  25.4 999.0 99.0
98 01 11 00  77  1.2  2.8  2.95 16.67 11.47 999 1013.2  24.9  25.6 999.0 99.0
98 01 11 01  34  1.5  2.5  2.79 20.00 11.04 999 1012.7  24.9  25.5 999.0 99.0
98 01 11 02  48   .9  2.1  3.27 16.67 11.54 999 1012.8  24.8  25.5 999.0 99.0
98 01 11 03  22  2.2  3.1  3.12 16.67 11.76 999 1013.2  25.1  25.5 999.0 99.0
98 01 11 04  30  3.7  4.8  3.22 16.67 11.52 999 1013.6  24.7  25.4 999.0 99.0
98 01 11 05  36  4.1  5.1  3.62 16.67 11.92 999 1013.9  24.5  25.4 999.0 99.0
98 01 11 06  52  2.6  3.9  3.39 16.67 11.15 999 1014.4  24.2  25.4 999.0 99.0
98 01 11 07  62  2.9  4.3  4.21 16.67 12.87 999 1014.8  23.9  25.3 999.0 99.0
98 01 11 08  72  2.8  4.1  3.92 16.67 12.29 999 1014.9  24.1  25.3 999.0 99.0
